Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
TF.4162.54.2,ANM_Males,0.01,0.0141682,0.0108891,0.0853244,0.0744353,0.07,-0.227319,0.122391,0.063266,5810,N,1.19882962299056
TF.4162.54.2,GERAD_Males,0.001,0.000755061,0.000624587,0.0470724,0.0464478,0.07,0.0532015,0.0563118,0.344779,759,N,0.462459194302844
TNC.4155.3.2,ADNI_Males,5e-08,0.00315875,0.00245515,0.0172938,0.0148386,0.07,0.106882,0.095007,0.260592,16,N,0.584038920968733
TNC.4155.3.2,ANM_Males,0.001,0.00399154,0.0030554,0.0774907,0.0744353,0.07,-0.119796,0.121097,0.322538,816,N,0.491419111360162
TNC.4155.3.2,GERAD_Males,5e-08,0.00334053,0.0027643,0.0492121,0.0464478,0.07,-0.112018,0.0561461,0.0460304,17,Y,1.33695525110998
TNF.5936.53.3,ADNI_Males,5e-08,0.0210743,0.0164435,0.0312822,0.0148386,0.07,-0.299949,0.108853,0.00585933,1,Y,2.2321520416506
TNF.5936.53.3,ANM_Males,5e-08,0.00726077,0.00556507,0.0800004,0.0744353,0.07,-0.160091,0.120614,0.18441,1,N,0.73421553215948
TNF.5936.53.3,GERAD_Males,0.01,0.00180276,0.00149146,0.0479392,0.0464478,0.07,0.0833043,0.0571266,0.144774,5678,N,0.839309426194152
VCAM1.2967.8.1,ADNI_Males,5e-08,0.00762614,0.00593316,0.0207718,0.0148386,0.07,0.164462,0.0939391,0.0799917,5,N,1.0969550733981
VCAM1.2967.8.1,ANM_Males,5e-04,0.0100884,0.00774098,0.0821763,0.0744353,0.07,0.189865,0.120963,0.116506,416,N,0.933651708116139
VCAM1.2967.8.1,GERAD_Males,0.001,0.0023515,0.0019456,0.0483934,0.0464478,0.07,-0.0948806,0.0570131,0.0960746,818,N,1.0173914150151
VTN.13125.45.3,ADNI_Males,1,0.0112339,0.0087468,0.0235854,0.0148386,0.07,-0.198685,0.0937319,0.0340301,147267,Y,1.46813677469542
VTN.13125.45.3,ANM_Males,0.001,0.00758416,0.00581368,0.080249,0.0744353,0.07,-0.165114,0.121155,0.172935,823,N,0.762117101760308
VTN.13125.45.3,GERAD_Males,0.2,0.00154808,0.00128072,0.0477285,0.0464478,0.07,-0.0763015,0.0564247,0.176288,61085,N,0.753777249306773
